iter	Passed	Remaining
0	15	2291
1	29	2191
2	44	2169
3	57	2110
4	70	2046
5	86	2069
6	100	2045
7	114	2033
8	130	2038
9	145	2041
10	162	2056
11	177	2038
12	192	2023
13	207	2012
14	223	2007
15	237	1988
16	251	1964
17	265	1949
18	282	1944
19	297	1930
20	313	1928
21	329	1917
22	345	1905
23	361	1895
24	378	1894
25	398	1900
26	419	1913
27	439	1916
28	458	1913
29	480	1920
30	498	1912
31	514	1898
32	532	1887
33	552	1884
34	571	1878
35	591	1872
36	609	1860
37	629	1854
38	651	1854
39	671	1845
40	689	1832
41	706	1816
42	724	1801
43	739	1782
44	755	1762
45	773	1747
46	795	1742
47	809	1719
48	824	1699
49	838	1677
50	852	1654
51	868	1636
52	882	1615
53	896	1594
54	909	1571
55	924	1551
56	938	1531
57	953	1511
58	967	1491
59	980	1470
60	993	1450
61	1008	1431
62	1024	1414
63	1037	1394
64	1051	1374
65	1065	1356
66	1080	1338
67	1093	1318
68	1107	1300
69	1122	1282
70	1137	1265
71	1157	1253
72	1173	1237
73	1189	1221
74	1208	1208
75	1221	1189
76	1236	1172
77	1253	1156
78	1269	1140
79	1287	1126
80	1304	1110
81	1318	1093
82	1332	1075
83	1348	1059
84	1363	1042
85	1377	1025
86	1391	1007
87	1405	990
88	1419	972
89	1434	956
90	1448	939
91	1463	922
92	1478	906
93	1492	889
94	1504	870
95	1517	853
96	1530	836
97	1544	819
98	1558	802
99	1572	786
100	1584	768
101	1599	752
102	1613	736
103	1628	720
104	1642	704
105	1656	687
106	1670	671
107	1684	655
108	1699	639
109	1713	623
110	1728	607
111	1743	591
112	1758	575
113	1771	559
114	1784	543
115	1798	527
116	1811	510
117	1826	495
118	1840	479
119	1859	464
120	1876	449
121	1890	433
122	1905	418
123	1920	402
124	1934	386
125	1950	371
126	1964	355
127	1979	340
128	1993	324
129	2007	308
130	2022	293
131	2037	277
132	2050	262
133	2063	246
134	2077	230
135	2091	215
136	2106	199
137	2120	184
138	2135	169
139	2149	153
140	2163	138
141	2178	122
142	2192	107
143	2206	91
144	2222	76
145	2235	61
146	2248	45
147	2260	30
148	2275	15
149	2288	0
